Mineral,Density,Hardness,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Nh,Fl,Mc,Lv,Ts,Og
Agardite-Dy,3.72,3.5,1.12,,,,,,,31.01,,,,,,,,,,,,0.37,,,,,,,,,35.19,,,,20.75,,,,,,,,,,,,,,,,,,,,,,,,2.56,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agardite-La,3.72,3.5,1.13,,,,,,,31.45,,,,,,,,,,,,0.94,,,,,,,,,35.69,,,,21.04,,,,,,,,,,,,,,,,,,,,,,,,9.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agardite-Nd,3.72,3.5,1.36,,,,,,,32.35,,,,,,,,,,,,0.38,,,,,,,,,34.07,,,,21.14,,,,,,0.84,,,,,,,,,,,,,,,,,,1.31,,,2.71,,,,,,,,,,,,,,,,,,,,,,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agardite-Y,3.69,3.5,1.17,,,,,,,32.59,,,,,,,,,,,,0.97,,,,,,,,,36.99,,,,21.8,,,,,,6.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrellite,2.88,5.5,,,,,,,,40.56,4.82,,5.83,,,28.48,,,,,,20.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrinierite,5.66,,0.85,,,,,,,22.74,,,,,,,,,,,1.57,1.6,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.48,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguilarite,7.48,2.5,,,,,,,,,,,,,,,,5.91,,,,,,,,,,,,,,,,,,14.55,,,,,,,,,,,,,79.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aheylite,2.85,5.5,2.06,,,,,,,55.77,,,,,20.08,,15.37,,,,,,,,,,,3.46,,,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahlfeldite,3.37,2.25,1.82,,,,,,,36.08,,,,,,,,,,,,,,,,,,,6.64,19.85,,,,,,35.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aikinite,6.44,2.25,,,,,,,,,,,,,,,,16.7,,,,,,,,,,,,,11.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.98,36.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiolosite,,,,,,,,,,30.74,,,14.72,,,,,15.4,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajoite,2.96,,0.82,,,,,,,40.74,,,1.02,,2.06,20.74,,,,,2.24,,,,,,,,,,32.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akaganeite,3.0,,1.28,,,,,,,33.83,,,,,,,,,6.05,,,,,,,,,55.75,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
