Mineral,Density,Hardness,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Nh,Fl,Mc,Lv,Ts,Og
Mattheddleite,,4.0,,,,,,,,13.25,,,,,,3.7,,2.41,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matulaite,2.33,1.0,3.05,,,,,,,61.19,,,,,19.35,,14.81,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matveevite,2.32,2.5,3.29,,,,,,,53.88,,,,,,,12.27,,,,3.87,,,4.74,,,10.88,11.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maucherite,7.83,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.86,,,,,48.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maufite,2.27,3.0,1.6,,,,,,,53.84,,,,3.61,21.37,16.68,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mavlyanovite,,,,,,,,,,,,,,,,23.47,,,,,,,,,,,76.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawbyite,5.5,4.0,0.28,,,,,,,24.16,,,,,,,,,,,,,,,,,,16.35,,,,1.01,,,23.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawsonite,4.66,3.75,,,,,,,,,,,,,,,,29.55,,,,,,,,,,12.86,,,43.92,,,,,,,,,,,,,,,,,,,,,13.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxwellite,3.9,5.25,,,,,,,,27.03,8.02,,9.71,,,,,,,,,,,,,,,23.59,,,,,,,31.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayenite,2.85,,,,,,,,,38.08,,,,,27.24,,,,,,,34.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayingite,12.72,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.13,,,,,,,,,,,,,,,,,,,,,,,,,36.35,,,,,,39.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazzettiite,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.59,,,,8.07,42.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.56,,14.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazzite-Mg,2.108,4.5,1.87,,,,,,,55.84,,,,1.73,9.42,26.5,,,,,2.65,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mazzite-Na,,,2.09,,,,,,,56.49,,,5.99,0.13,7.59,26.94,,,,,0.03,0.12,,,,,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbobomkulite,2.3,,3.2,,,,,,3.71,60.67,,,,,19.03,,,2.83,,,,,,,,,,,,7.76,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mcallisterite,1.867,2.5,3.93,,,,16.88,,,72.86,,,,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mcalpineite,6.63,3.0,0.47,,,,,,,25.91,,,,,,,,,,,,,,,,,,,,,44.1,,,,,,,,,,,,,,,,,,,,,,,29.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mcauslanite,2.22,3.5,3.94,,,,,,,57.52,2.01,,,,5.71,,13.1,,,,,,,,,,,17.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mcbirneyite,,,,,,,,,,30.44,,,,,,,,,,,,,,,24.23,,,,,,45.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mcconnellite,5.49,5.5,,,,,,,,21.69,,,,,,,,,,,,,,,,35.24,,,,,43.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mccrillisite,3.12,4.5,0.4,,0.23,0.9,,,,37.15,,,3.05,,,,16.44,,,,,,,,,,,,,,,,,,,,,,,,,24.21,,,,,,,,,,,,,,,17.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mcgillite,2.98,5.0,0.78,,,,,,,35.44,,,,0.47,,16.23,,,6.83,,,,,,,,37.03,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mcgovernite,3.72,,0.98,,,,,,,34.48,,,,6.76,,3.9,,,,,,,,,,,34.37,,,,,9.09,,,10.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mcguinnessite,3.12,2.5,1.24,,,,,7.4,,49.3,,,,22.47,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mckelveyite-Nd,3.52,3.25,3.53,,,,,5.26,,49.02,,,1.01,,,,,,,,,4.39,,,,,,,,,,,,,,,,,,4.79,,,,,,,,,,,,,,,,,,22.54,,,,6.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mckelveyite-Y,3.52,3.75,0.62,,,,,7.42,,34.58,,,2.53,,,,,,,,,3.92,,,,,,,,,,,,,,,,,,2.8,6.77,,,,,,,,,,,,,,,,,39.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mckinstryite,6.61,2.0,,,,,,,,,,,,,,,,15.1,,,,,,,,,,,,,23.94,,,,,,,,,,,,,,,,,,60.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mcnearite,2.6,,1.22,,,,,,,38.63,,,2.31,,,,,,,,,20.16,,,,,,,,,,,,,37.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medaite,3.7,,0.12,,,,,,,36.72,,,,,,16.96,,,,,,0.97,,,4.92,,38.49,,,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medenbachite,5.9,4.5,0.29,,,,,,,21.82,,,,,,,,,,,,,,,,,,7.93,,,5.42,,,,17.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megacyclite,1.82,2.0,3.71,,,,,,,58.23,,,14.71,,,20.22,,,,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megakalsilite,2.58,6.0,,,,,,,,40.46,,,,,17.06,17.76,,,,,24.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meionite,2.69,5.5,,,,,,1.28,,46.22,,,,,17.32,18.03,,,,,,17.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meixnerite,,2.0,4.53,,,,,,,60.9,,,,25.23,9.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanocerite-Ce,4.13,5.5,0.28,,,,1.2,,,23.92,1.05,,,,,6.22,,,,,,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.77,46.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanophlogite,2.04,6.75,0.78,,,,,0.82,,53.75,,,,,,44.11,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanophlogite-beta,2.04,6.75,0.78,,,,,0.82,,53.75,,,,,,44.11,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanostibite,5.63,4.0,,,,,,,,24.2,,,,,,,,,,,,,,,,,27.7,11.26,,,,,,,,,,,,,,,,,,,,,,,,,36.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanotekite,5.73,6.5,,,,,,,,19.83,,,,,,7.73,,,,,,,,,,,,15.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanothallite,4.08,,,,,,,,,7.48,,,,,,,,,33.13,,,,,,,,,,,,59.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanovanadite,2.55,2.5,2.04,,,,,,,48.59,,,,,,,,,,,,8.11,,,41.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanterite,1.89,2.0,5.08,,,,,,,63.3,,,,,,,,11.53,,,,,,,,,,20.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilite,2.95,5.25,,,,,,,,41.74,,,4.28,2.72,11.06,15.7,,,,,,22.41,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meliphanite,3.01,5.25,0.21,,,3.74,,,,43.13,3.94,,9.53,,11.19,11.65,,,,,,16.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melkovite,2.971,3.0,1.29,,,,,,,44.31,,,,,,,3.3,,,,,4.27,,,,,,5.95,,,,,,,,,,,,,,,,40.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melliniite,,8.25,,,,,,,,,,,,,,,12.52,,,,,,,,,,,35.27,0.23,51.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellite,1.6,2.25,9.05,,,,,26.97,,53.88,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melonite,7.3,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,,,,,,,,,,,,,,,,,,,,,,,,81.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melonjosephite,3.65,5.0,0.28,,,,,,,40.14,,,,,,,17.27,,,,,11.17,,,,,,31.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendipite,7.1,2.75,,,,,,,,4.42,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendozavilite,3.85,1.5,1.04,,,,,,,39.83,,,0.75,0.26,,,3.35,,,,,3.69,,,,,,9.07,,,,,,,,,,,,0.47,,,,41.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendozite,1.74,3.0,5.04,,,,,,,69.05,,,5.22,,6.13,,,14.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meneghinite,6.38,2.5,,,,,,,,,,,,,,,,17.57,,,,,,,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,19.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menezesite,,4.0,0.87,,,,,,,31.09,,,0.05,0.82,0.03,0.12,,,,,0.75,0.45,,5.6,,,0.45,0.46,,,,,,,,,,,,,,9.03,30.86,,,,,,,,,,,,,,,10.82,0.1,0.86,,0.52,,,,,,,,,,,,,2.34,,,,,,,,,,,,,,,,,4.59,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,
Mengxianminite,3.85,6.0,,,,,,,,31.48,,,1.17,3.3,14.64,,,,,,,6.12,,,,,1.86,5.68,,,,5.55,,,,,,,,,,,,,,,,,,,,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meniaylovite,,,3.12,,,,,,,33.05,31.88,,,,3.48,3.63,,4.14,,,,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menshikovite,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.75,,,,,33.98,,,,,,,,,,,,,48.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercallite,2.33,,0.74,,,,,,,47.0,,,,,,,,23.55,,,28.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercury,13.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mereheadite,7.4,3.5,0.21,,,,,,,6.63,,,,,,,,,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mereiterite,2.36,2.75,2.02,,,,,,,48.21,,,,,,,,16.1,,,19.64,,,,,,,14.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merenskyite,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.76,,,,,,59.39,,,,,,,,,,,,,,,,,,,,,,,,,,5.04,,,,,10.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meridianiite,,,6.96,,,,,,,75.34,,,,7.63,,,,10.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merlinoite,2.2,4.5,1.74,,,,,,,52.83,,,0.53,,9.56,24.28,,,,,6.25,2.29,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrihueite,2.87,5.5,,,,,,,,42.59,,,1.02,2.7,,29.91,,,,,5.2,,,,,,,18.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrillite,,,,,,,,,,41.76,,,2.14,2.27,,,20.21,,,,,33.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrillite-Ca,,,,,,,,,,42.67,,,,2.32,,,20.65,,,,,34.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merrillite-Y,,,,,,,,,,39.34,,,,2.13,,,19.04,,,,,31.68,,,,,,,,,,,,,,,,,,,7.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mertieite-I,10.6,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,79.36,,,,,14.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mertieite-II,11.29,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,70.25,,,,,29.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merwinite,3.15,6.0,,,,,,,,38.94,,,,7.39,,17.09,,,,,,36.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesolite,2.29,5.0,1.38,,,,,,,52.19,,,3.95,,13.9,21.7,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Messelite,3.08,3.5,1.11,,,,,,,44.23,,,,,,,17.12,,,,,22.16,,,,,3.8,11.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-aluminite,2.01,1.5,4.58,,,,,,,67.5,,,,,17.51,,,10.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-alunogen,,,4.65,,,,,,,69.7,,,,,9.22,,,16.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-ankoleite,3.54,2.25,1.32,,,,,,,31.43,,,,,,,6.76,,,,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.96,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta-autunite,3.5,1.0,0.96,,,,,,,30.4,,,,,,,7.36,,,,,4.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.53,,,,,,,,,,,,,,,,,,,,,,,,,,
Metaborite,2.47,5.0,2.3,,,,24.67,,,73.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metacalciouranoite,4.9,,0.48,,,,,,,20.04,,,0.96,,,,,,,,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,,,,,,,,,,69.58,,,,,,,,,,,,,,,,,,,,,,,,,,
Metacinnabar,7.75,3.0,,,,,,,,,,,,,,,,13.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metadelrioite,4.3,2.0,1.07,,,,,,,38.13,,,,,,,,,,,,10.61,,,26.98,,,,,,,,,,,,,,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metahaiweeite,3.35,3.5,0.49,,,,,,,33.28,,,,,,16.3,,,,,,3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.05,,,,,,,,,,,,,,,,,,,,,,,,,,
Metaheinrichite,4.04,2.5,1.47,,,,,,,29.11,,,,,,,,,,,,,,,,,,,,,,,,,13.63,,,,,,,,,,,,,,,,,,,,,,,12.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Metahewettite,2.5,,0.92,,,,,,,46.36,,,,,,,,,,,,6.11,,,46.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metahohmannite,,,2.06,,,,,,,53.08,,,,,,,,16.37,,,,,,,,,,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metakahlerite,3.48,2.5,1.58,,,,,,,31.44,,,,,,,,,,,,,,,,,,5.49,,,,,,,14.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.77,,,,,,,,,,,,,,,,,,,,,,,,,,
Metakirchheimerite,3.22,2.25,1.58,,,,,,,31.34,,,,,,,,,,,,,,,,,,,5.77,,,,,,14.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.63,,,,,,,,,,,,,,,,,,,,,,,,,,
Metakottigite,,2.0,2.34,,,,,,,42.4,,,,,,,,,,,,,,,,,,12.03,,,,18.41,,,24.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metalodevite,4.0,2.25,1.9,,,,,,,33.1,,,,,,,,,,,,,,,,,,,,,,6.15,,,14.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.77,,,,,,,,,,,,,,,,,,,,,,,,,,
Metamunirite,,1.0,,,,,,,,39.37,,,18.85,,,,,,,,,,,,41.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metanovacekite,3.51,2.5,1.27,,,,,,,30.31,,,,2.56,,,,,,,,,,,,,,,,,,,,,15.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1,,,,,,,,,,,,,,,,,,,,,,,,,,
